,Action_id_label,ActionIdPageLabel,ActionName_Label,Next_id_label,NextPageLabel,NextActionName_Label,distance,rating
0,18,3,17,53,0,12,1.0,37
1,18,3,17,29,0,14,2.5,37
2,18,3,17,54,0,26,2.0,37
3,18,3,17,10,0,1,3.5,37
4,18,3,17,17,0,4,4.5,36
5,18,3,17,22,0,21,5.5,37
6,18,3,17,41,0,24,7.0,36
7,18,3,17,49,0,36,8.0,5
8,18,3,17,38,0,14,9.0,37
9,18,3,17,52,0,0,10.0,36
10,18,3,17,15,0,10,11.0,24
11,18,3,17,11,0,11,12.0,24
12,18,3,17,45,0,21,12.5,35
13,53,0,12,29,0,14,1.5,36
14,53,0,12,54,0,26,1.0,36
15,53,0,12,10,0,1,2.5,37
16,53,0,12,17,0,4,3.5,35
17,53,0,12,22,0,21,4.5,37
18,53,0,12,41,0,24,6.0,36
19,53,0,12,49,0,36,7.0,6
20,53,0,12,38,0,14,8.0,36
21,53,0,12,52,0,0,9.0,36
22,53,0,12,15,0,10,10.0,24
23,53,0,12,11,0,11,11.0,24
24,53,0,12,45,0,21,11.5,35
25,29,0,14,54,0,26,1.0,8
26,29,0,14,10,0,1,1.0,37
27,29,0,14,17,0,4,2.0,36
28,29,0,14,22,0,21,3.0,37
29,29,0,14,41,0,24,4.0,36
30,29,0,14,49,0,36,6.0,6
31,29,0,14,38,0,14,6.0,37
32,29,0,14,52,0,0,7.0,36
33,29,0,14,15,0,10,8.0,24
34,29,0,14,11,0,11,9.0,24
35,29,0,14,45,0,21,10.0,35
36,54,0,26,10,0,1,1.5,37
37,54,0,26,17,0,4,2.5,36
38,54,0,26,22,0,21,3.5,37
39,54,0,26,41,0,24,4.5,36
40,54,0,26,49,0,36,5.0,6
41,54,0,26,38,0,14,6.5,37
42,54,0,26,52,0,0,7.5,37
43,54,0,26,15,0,10,8.5,25
44,54,0,26,11,0,11,9.5,25
45,54,0,26,45,0,21,10.5,36
46,10,0,1,17,0,4,1.0,35
47,10,0,1,22,0,21,1.5,37
48,10,0,1,41,0,24,3.0,36
49,10,0,1,49,0,36,4.0,6
50,10,0,1,38,0,14,5.0,36
51,10,0,1,52,0,0,6.0,36
52,10,0,1,15,0,10,7.0,24
53,10,0,1,11,0,11,8.0,24
54,10,0,1,45,0,21,8.5,35
55,17,0,4,22,0,21,1.0,37
56,17,0,4,41,0,24,2.0,37
57,17,0,4,49,0,36,3.0,6
58,17,0,4,38,0,14,4.0,37
59,17,0,4,52,0,0,5.0,36
60,17,0,4,15,0,10,6.0,24
61,17,0,4,11,0,11,7.0,24
62,17,0,4,45,0,21,7.5,35
63,22,0,21,41,0,24,1.0,36
64,22,0,21,49,0,36,2.0,6
65,22,0,21,38,0,14,3.0,36
66,22,0,21,52,0,0,4.0,36
